Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,busykids.bed_type (product.metafields.custom.busykids_bed_type),busykids.features (product.metafields.custom.busykids_features),busykids.mattress_size (product.metafields.custom.busykids_mattress_size),busykids.sleepers (product.metafields.custom.busykids_sleepers),feed_category (product.metafields.custom.feed_category),notice (product.metafields.custom.notice),url-media (product.metafields.custom.url_media),url-tech (product.metafields.custom.url_tech),Custom label 0 (product.metafields.mm-google-shopping.custom_label_0),Custom label 1 (product.metafields.mm-google-shopping.custom_label_1),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Art movement (product.metafields.shopify.art-movement),Artwork authenticity (product.metafields.shopify.artwork-authenticity),Baby/Toddler furniture features (product.metafields.shopify.baby-toddler-furniture-features),Baby/Toddler seat features (product.metafields.shopify.baby-toddler-seat-features),Backrest type (product.metafields.shopify.backrest-type),Bed/Frame features (product.metafields.shopify.bed-frame-features),Bedding pieces included (product.metafields.shopify.bedding-pieces-included),Bedding size (product.metafields.shopify.bedding-size),Care instructions (product.metafields.shopify.care-instructions),Color (product.metafields.shopify.color-pattern),Compatible stroller type (product.metafields.shopify.compatible-stroller-type),Construction set theme (product.metafields.shopify.construction-set-theme),Cover features (product.metafields.shopify.cover-features),Crib/Toddler bed features (product.metafields.shopify.crib-toddler-bed-features),Decoration material (product.metafields.shopify.decoration-material),Developmental features (product.metafields.shopify.developmental-features),Difficulty level (product.metafields.shopify.difficulty-level),Doll/Playset features (product.metafields.shopify.doll-playset-features),Fabric (product.metafields.shopify.fabric),Firmness (product.metafields.shopify.firmness),Folding mechanism (product.metafields.shopify.folding-mechanism),Frame style (product.metafields.shopify.frame-style),Furniture/Fixture features (product.metafields.shopify.furniture-fixture-features),Furniture/Fixture material (product.metafields.shopify.furniture-fixture-material),Infant age group (product.metafields.shopify.infant-age-group),Instrument material (product.metafields.shopify.instrument-material),Lumber/Wood type (product.metafields.shopify.lumber-wood-type),Material (product.metafields.shopify.material),Mattress features (product.metafields.shopify.mattress-features),Motion (product.metafields.shopify.motion),Mounting type (product.metafields.shopify.mounting-type),Outdoor equipment features (product.metafields.shopify.outdoor-equipment-features),Painting medium (product.metafields.shopify.painting-medium),Portability (product.metafields.shopify.portability),Potty/Toilet seat design (product.metafields.shopify.potty-toilet-seat-design),Puzzle theme (product.metafields.shopify.puzzle-theme),Puzzle type (product.metafields.shopify.puzzle-type),Reading toy type (product.metafields.shopify.reading-toy-type),Recommended age group (product.metafields.shopify.recommended-age-group),Riding toy propulsion type (product.metafields.shopify.riding-toy-propulsion-type),Safety rail installation (product.metafields.shopify.safety-rail-installation),Seat type (product.metafields.shopify.seat-type),Shape (product.metafields.shopify.shape),Stroller features (product.metafields.shopify.stroller-features),Stroller wheel type (product.metafields.shopify.stroller-wheel-type),Suitable for container type (product.metafields.shopify.suitable-for-container-type),Suitable location (product.metafields.shopify.suitable-location),Theme (product.metafields.shopify.theme),Toddler bed features (product.metafields.shopify.toddler-bed-features),Toy/Game material (product.metafields.shopify.toy-game-material),Upholstery material (product.metafields.shopify.upholstery-material),Wood finish (product.metafields.shopify.wood-finish),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Germany,Price / Germany,Compare At Price / Germany,Included / International,Price / International,Compare At Price / International,Status
busykids-schutzgitter-fur-kinderbetten,BusyKids Schutzgitter für Kinderbetten,"<p data-start=""44"" data-end=""308""><strong>Mit dem BusyKids Schutzgitter</strong> schläft Ihr Kind ruhig, sicher und sorgenfrei. Es schützt zuverlässig vor versehentlichen Stürzen während des Schlafs und lässt sich dank des einfachen Befestigungssystems leicht am Bett montieren, wo es sicher an seinem Platz bleibt.</p>
<p data-start=""310"" data-end=""557"">Das Schutzgitter wurde speziell für BusyKids Kinderbetten entwickelt und ergänzt deren Design harmonisch. Für die Oberfläche wird ein sicherer, hypoallergener Lack verwendet, der für Kindermöbel geeignet und frei von schädlichen Bestandteilen ist.</p>
<p data-start=""559"" data-end=""837""><strong>BusyKids achtet auf jedes Detail:</strong> von einer stabilen Konstruktion bis hin zu einer glatten Oberfläche und sicheren Materialien. Dieses Schutzgitter hilft dabei, einen gemütlichen Schlafbereich zu schaffen, in dem sich das Kind geborgen fühlt und die Eltern beruhigt sein können.</p>",Benlemi,Baby & Toddler > Baby Safety > Baby Safety Rails > Bed Safety Rails,Kinderzimmermöbel > Kinderbetten > Zubehör,"additional-products:protector1, age-active, age-gr:3+, color-selection:true, sklad:preorder",true,Farben,Unlackiert,,Größen,97 cm,,,,,"Wooden sidewall,size 97, color Unvarnished",0.0,shopify,1000,deny,manual,89.00,89.00,true,true,,,,,8595731842538,https://cdn.shopify.com/s/files/1/0622/7234/0174/files/natur.jpg?v=1781532699,1,"",false,,,544,,,,,,core,,,,,,,,,,,,,core,,,,,,,,,,,,,beige; gray; white,,,,,,,,,,,,,,,,,,wood; plastic,,,,,,,,,,,,,portable,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0622/7234/0174/files/natur.jpg?v=1781532699,kg,,,true,,,true,,,active
busykids-schutzgitter-fur-kinderbetten,,,,,,,,,Unlackiert,,,127 cm,,,,,"Wooden sidewall,size 127, color Unvarnished",0.0,shopify,1000,deny,manual,89.00,89.00,true,true,,,,,8595731842927,https://cdn.shopify.com/s/files/1/0622/7234/0174/files/oil_08839655-846f-4c8f-a869-84c9375bbff6.jpg?v=1781532699,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0622/7234/0174/files/natur.jpg?v=1781532699,kg,,,,,,,,,
busykids-schutzgitter-fur-kinderbetten,,,,,,,,,Unlackiert,,,75 cm,,,,,"Wooden sidewall,size 75, color Unvarnished",0.0,shopify,1000,deny,manual,89.00,89.00,true,true,,,,,8595731843047,https://cdn.shopify.com/s/files/1/0622/7234/0174/files/white_3f2e8cff-7263-46da-9ac9-fe7184052a3f.jpg?v=1781532699,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0622/7234/0174/files/natur.jpg?v=1781532699,kg,,,,,,,,,
busykids-schutzgitter-fur-kinderbetten,,,,,,,,,Transparentes Öl,,,97 cm,,,,,"Wooden sidewall,size 97, color Transparent oil",0.0,shopify,1000,deny,manual,89.00,89.00,true,true,,,,,8595731842545,https://cdn.shopify.com/s/files/1/0622/7234/0174/files/grey_3ac82238-0539-44c0-af28-8307ec85b43f.jpg?v=1781532699,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0622/7234/0174/files/oil_08839655-846f-4c8f-a869-84c9375bbff6.jpg?v=1781532699,kg,,,,,,,,,
busykids-schutzgitter-fur-kinderbetten,,,,,,,,,Transparentes Öl,,,127 cm,,,,,"Wooden sidewall,size 127, color Transparent oil",0.0,shopify,1000,deny,manual,89.00,89.00,true,true,,,,,8595731842934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0622/7234/0174/files/oil_08839655-846f-4c8f-a869-84c9375bbff6.jpg?v=1781532699,kg,,,,,,,,,
busykids-schutzgitter-fur-kinderbetten,,,,,,,,,Transparentes Öl,,,75 cm,,,,,"Wooden sidewall,size 75, color Transparent oil",0.0,shopify,1000,deny,manual,89.00,89.00,true,true,,,,,8595731843115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0622/7234/0174/files/oil_08839655-846f-4c8f-a869-84c9375bbff6.jpg?v=1781532699,kg,,,,,,,,,
busykids-schutzgitter-fur-kinderbetten,,,,,,,,,Weiß,,,97 cm,,,,,"Wooden sidewall,size 97, color White",0.0,shopify,1000,deny,manual,89.00,89.00,true,true,,,,,8595731842552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0622/7234/0174/files/white_3f2e8cff-7263-46da-9ac9-fe7184052a3f.jpg?v=1781532699,kg,,,,,,,,,
busykids-schutzgitter-fur-kinderbetten,,,,,,,,,Weiß,,,127 cm,,,,,"Wooden sidewall,size 127, color White",0.0,shopify,1000,deny,manual,89.00,89.00,true,true,,,,,8595731842941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0622/7234/0174/files/white_3f2e8cff-7263-46da-9ac9-fe7184052a3f.jpg?v=1781532699,kg,,,,,,,,,
busykids-schutzgitter-fur-kinderbetten,,,,,,,,,Weiß,,,75 cm,,,,,"Wooden sidewall,size 75, color White",0.0,shopify,1000,deny,manual,89.00,89.00,true,true,,,,,8595731843054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0622/7234/0174/files/white_3f2e8cff-7263-46da-9ac9-fe7184052a3f.jpg?v=1781532699,kg,,,,,,,,,
busykids-schutzgitter-fur-kinderbetten,,,,,,,,,Dunkelgrau,,,97 cm,,,,,"Wooden sidewall,size 97, color Dark grey",0.0,shopify,1000,deny,manual,89.00,89.00,true,true,,,,,8595731842606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0622/7234/0174/files/grey_3ac82238-0539-44c0-af28-8307ec85b43f.jpg?v=1781532699,kg,,,,,,,,,
